900	4.84998969	3.20775622
922	5.59588484	4.75549063
936	6.26787843	3.29772649
966	6.24852531	3.7964347
967	6.47924861	3.94665413
968	2.74	3.89
971	5.74986914	3.47433255
977	5.65891099	3.24484073
998	5.87339334	4.07688562
1004	6.98768202	3.73221114
1017	5.4	4.86
1031	5.15067957	3.19374388
1049	4.47031904	3.95848843
1061	4.41515709	3.78090723
1063	4.85	3
1084	4.95260442	3.58562944
1106	5.84645393	4.78093233
1150	6.2743604	4.54957529
1161	7.5	3.35
1173	4.95	4.53
1185	6.03608317	2.84899982
1208	5.89586526	3.85759053
1301	5.30605315	3.02076149
1310	6.41937352	3.50952027
1338	6.55	3.52
1352	3.57559635	4.80068143
1390	5.97213915	5.08855966
1461	5.24546911	4.76379003
1468	5.12833776	3.61830154
1472	6.80077413	4.83862099
1474	4.8644013	4.86009259
1476	6.94553038	4.56808036
1554	5.8	3.57176427
1580	6.68114545	4.14573356
1609	3.5718845	5.20246829
1649	3.59347107	5.29166604
1688	6.64642761	3.27871926
1723	4.58	3.05
1838	3.86334147	4.5833483
1841	5.4724309	4.9459074
1864	5.41687179	4.02492236
1944	5.60238641	4.04255818
1974	5.57786898	4.01182616
1987	4.81784184	4.64031249
2009	5.63862873	3.84687599
2047	3.542485	3.44448835
2092	6.99260849	4.17208838
2113	4.23189912	4.08299014
2114	7.43	5.42
2160	6.29	4.4
2202	7.93362465	5.4848154
2290	4.8642574	4.06626364
2349	5.82162626	3.72354173
2381	5.78959052	4.11203738
2382	4.79940531	3.73900781
2399	3.82870735	3.4949392
2448	3.73459502	5.64090418
2460	5.59184497	3.66890795
2473	6.5087948	4.76748862
2494	5.96622657	3.26597662
2531	5.59218524	4.88364777
2543	6.714462	3.74371473
2793	4.00490292	3.64114254
2839	6.22530161	4.26045751
2849	4.94093274	3.83468691
2958	6.85995748	4.30366472
3013	6.33246136	3.8512552
3024	4.62033003	5.3289422
3029	4.89671695	3.50525198
3048	5.76736803	4.1114887
3102	4.85950028	3.64153289
3209	5.96925456	2.90654434
3237	4.60517574	3.8935491
3292	5.49143271	3.47077559
3314	5.74342004	4.46018276
3339	4.56774822	4.74498803
3340	5.72634264	4.50893557
3376	6.11162826	4.17133072
3382	5.16360552	4.31013931
3405	5.24	6
3540	5.92490934	3.44079462
3567	4.18909659	3.90627755
3575	5.30615121	3.54902978
3587	5.10251901	4.30390857
3677	6.14231227	3.05417747
3678	4.98238438	4.04919252
3704	6.37524536	5.08751448
3728	4.56919189	4.42048913
3857	5.60563916	4.5595251
3951	5.26902815	3.85140466
3961	6.0508704	4.2333359
3973	5.40873451	3.28853923
3988	5.65011504	3.02076149
4144	5.22534501	5.64259253
4294	5.7841594	5.19615242
4307	5.20994522	3.85698961
4310	5.51754553	3.73054329
4353	6.44612892	4.53502534
4420	4.57488512	4.11896636
4447	4.37	3
